ObservationDate,Confirmed,Recovered,Deaths
2020-02-01,1,0,0
2020-02-02,1,0,0
2020-02-03,1,0,0
2020-02-04,1,0,0
2020-02-05,1,0,0
2020-02-06,1,0,0
2020-02-07,1,0,0
2020-02-08,1,0,0
2020-02-09,2,0,0
2020-02-10,2,0,0
2020-02-11,2,0,0
2020-02-12,2,0,0
2020-02-13,2,0,0
2020-02-14,2,0,0
2020-02-15,2,2,0
2020-02-16,2,2,0
2020-02-17,2,2,0
2020-02-18,2,2,0
2020-02-19,2,2,0
2020-02-20,2,2,0
2020-02-21,2,2,0
2020-02-22,2,2,0
2020-02-23,2,2,0
2020-02-24,2,2,0
2020-02-25,6,2,0
2020-02-26,13,2,0
2020-02-27,15,2,0
2020-02-28,32,2,0
2020-02-29,45,2,0
2020-03-01,84,2,0
2020-03-02,120,2,0
2020-03-03,165,2,1
2020-03-04,222,2,2
2020-03-05,259,2,3
2020-03-06,400,2,5
2020-03-07,500,30,10
2020-03-08,673,30,17
2020-03-09,1073,32,28
2020-03-10,1695,32,35
2020-03-11,2277,183,54
2020-03-12,2277,183,55
2020-03-13,5232,193,133
2020-03-14,6391,517,195
2020-03-15,7798,517,289
2020-03-16,9942,530,342
2020-03-17,11748,1028,533
2020-03-18,13910,1081,623
2020-03-19,17963,1107,830
2020-03-20,20410,1588,1043
2020-03-21,25374,2125,1375
2020-03-22,28603,2125,1756
2020-03-23,35136,3355,2311
2020-03-24,39885,3794,2808
2020-03-25,49515,5367,3647
2020-03-26,57786,7015,4365
2020-03-27,65719,9357,5138
2020-03-28,73235,12285,5982
2020-03-29,80110,14709,6803
2020-03-30,87956,16780,7716
2020-03-31,95923,19259,8464
2020-04-01,104118,22647,9387
2020-04-02,112065,26743,10348
2020-04-03,119199,30513,11198
2020-04-04,126168,34219,11947
2020-04-05,131646,38080,12641
2020-04-06,136675,40437,13341
2020-04-07,141942,43208,14045
2020-04-08,148220,48021,14792
2020-04-09,153222,52165,15447
2020-04-10,158273,55668,16081
2020-04-11,163027,59109,16606
2020-04-12,166831,62391,17209
2020-04-13,170099,64727,17756
2020-04-14,172541,67504,18056
2020-04-15,177644,70853,18708
2020-04-16,184948,74797,19315
2020-04-17,190839,74797,20002
2020-04-18,191726,74797,20043
2020-04-19,198674,77357,20453
2020-04-20,200210,80587,20852
2020-04-21,204178,82514,21282
2020-04-22,208389,85915,21717
2020-04-23,213024,89250,22157
2020-04-24,219764,92355,22524
2020-04-25,223759,95708,22902
2020-04-26,226629,117727,23190
2020-04-27,229422,120832,23521
2020-04-28,232128,123903,23822
2020-04-29,236899,132929,24275
2020-04-30,213435,112050,24543
2020-05-01,213435,112050,24543
2020-05-02,216582,117248,25100
2020-05-03,217466,118902,25264
2020-05-04,218011,121343,25428
2020-05-05,219329,123486,25613
2020-05-06,220325,126002,25857
2020-05-07,221447,128511,26070
2020-05-08,222857,131148,26299
2020-05-09,223578,133952,26478
2020-05-10,224350,136166,26621
2020-05-11,227436,137139,26744
2020-05-12,228030,138980,26920
2020-05-13,228691,140823,27104
2020-05-14,229540,143374,27321
2020-05-15,230183,144783,27459
2020-05-16,230698,146446,27563
2020-05-17,230698,146446,27563
2020-05-18,231606,150376,27709
2020-05-19,232037,150376,27778
2020-05-20,232555,150376,27888
2020-05-21,233037,150376,27940
2020-05-22,234824,150376,28628
2020-05-23,235290,150376,28678
2020-05-24,235772,150376,28752
2020-05-25,235400,150376,26834
2020-05-26,236259,150376,27117
2020-05-27,236259,150376,27117
2020-05-28,237906,150376,27119
2020-05-29,238564,150376,27121
2020-05-30,239228,150376,27125
2020-05-31,239479,150376,27127
2020-06-01,239638,150376,27127
2020-06-02,239932,150376,27127
2020-06-03,240326,150376,27128
2020-06-04,240660,150376,27133
2020-06-05,240978,150376,27134
2020-06-06,241310,150376,27135
2020-06-07,241550,150376,27136
2020-06-08,241717,150376,27136
2020-06-09,241966,150376,27136
2020-06-10,242280,150376,27136
2020-06-11,242707,150376,27136
2020-06-12,243209,150376,27136
2020-06-13,243605,150376,27136
2020-06-14,243928,150376,27136
2020-06-15,244109,150376,27136
2020-06-16,244328,150376,27136
2020-06-17,244683,150376,27136
2020-06-18,245268,150376,27136
2020-06-19,245575,150376,28315
2020-06-20,245938,150376,28322
2020-06-21,246272,150376,28323
2020-06-22,246504,150376,28324
2020-06-23,246752,150376,28325
2020-06-24,247086,150376,28327
2020-06-25,247486,150376,28330
2020-06-26,247905,150376,28338
2020-06-27,248469,150376,28341
2020-06-28,248770,150376,28343
2020-06-29,248970,150376,28346
2020-06-30,249271,150376,28355
2020-07-01,249659,150376,28364
2020-07-02,250103,150376,28368
2020-07-03,250545,150376,28385
2020-07-04,250545,150376,28385
2020-07-05,250545,150376,28385
2020-07-06,251789,150376,28388
2020-07-07,252130,150376,28392
2020-07-08,252513,150376,28396
2020-07-09,253056,150376,28401
2020-07-10,253908,150376,28403
2020-07-11,253908,150376,28403
2020-07-12,253908,150376,28403
2020-07-13,255953,150376,28406
2020-07-14,256619,150376,28409
2020-07-15,257494,150376,28413
2020-07-16,258855,150376,28416
2020-07-17,260255,150376,28420
2020-07-18,260255,150376,28420
2020-07-19,260255,150376,28420
2020-07-20,264836,150376,28422
2020-07-21,266194,150376,28424
2020-07-22,267551,150376,28426
2020-07-23,270166,150376,28429
2020-07-24,272421,150376,28432
2020-07-25,272421,150376,28432
2020-07-26,272421,150376,28432
2020-07-27,278782,150376,28434
2020-07-28,280610,150376,28436
2020-07-29,282641,150376,28441
2020-07-30,285430,150376,28443
2020-07-31,288522,150376,28445
2020-08-01,288522,150376,28445
2020-08-02,288522,150376,28445
2020-08-03,297054,150376,28472
2020-08-04,302814,150376,28498
2020-08-05,305767,150376,28499
2020-08-06,309855,150376,28500
2020-08-07,314362,150376,28503
2020-08-08,314362,150376,28503
2020-08-09,314362,150376,28503
2020-08-10,322980,150376,28576
2020-08-11,326612,150376,28581
2020-08-12,329784,150376,28579
2020-08-13,337334,150376,28605
2020-08-14,342813,150376,28617
2020-08-15,342813,150376,28617
2020-08-16,342813,150376,28617
2020-08-17,359082,150376,28646
2020-08-18,364196,150376,28670
2020-08-19,370867,150376,28797
2020-08-20,377906,150376,28813
2020-08-21,386054,150376,28838
2020-08-22,386054,150376,28838
2020-08-23,386054,150376,28838
2020-08-24,405436,150376,28872
2020-08-25,412553,150376,28924
2020-08-26,419849,150376,28971
2020-08-27,429507,150376,28996
2020-08-28,439286,150376,29011
2020-08-29,439286,150376,29011
2020-08-30,439286,150376,29011
2020-08-31,462858,150376,29094
2020-09-01,470973,150376,29152
2020-09-02,479554,150376,29194
2020-09-03,488513,150376,29234
2020-09-04,498989,150376,29418
2020-09-05,498989,150376,29418
2020-09-06,498989,150376,29418
2020-09-07,525549,150376,29516
2020-09-08,534513,150376,29594
2020-09-09,543379,150376,29628
2020-09-10,554143,150376,29699
2020-09-11,566326,150376,29747
2020-09-12,566326,150376,29747
2020-09-13,566326,150376,29747
2020-09-14,593730,150376,29848
2020-09-15,603167,150376,30004
2020-09-16,614360,150376,30243
2020-09-17,625651,150376,30405
2020-09-18,640040,150376,30495
2020-09-19,640040,150376,30495
2020-09-20,640040,150376,30495
2020-09-21,671468,150376,30663
2020-09-22,682267,150376,30904
2020-09-23,693556,150376,31034
2020-09-24,704209,150376,31118
2020-09-25,716481,150376,31232
2020-09-26,716481,150376,31232
2020-09-27,716481,150376,31232
2020-09-28,748266,150376,31411
2020-09-29,748266,150376,31411
2020-09-30,769188,150376,31791
2020-10-01,778607,150376,31973
2020-10-02,789932,150376,32086
2020-10-03,789932,150376,32086
2020-10-04,789932,150376,32086
2020-10-05,813412,150376,32225
2020-10-06,825410,150376,32486
2020-10-07,835901,150376,32562
2020-10-08,848324,150376,32688
2020-10-09,861112,150376,32929
2020-10-10,861112,150376,32929
2020-10-11,861112,150376,32929
2020-10-12,888968,150376,33124
2020-10-13,896086,150376,33204
2020-10-14,908056,150376,33413
2020-10-15,921374,150376,33553
2020-10-16,936560,150376,33775
2020-10-17,936560,150376,33775
2020-10-18,936560,150376,33775
2020-10-19,974449,150376,33992
2020-10-20,988322,150376,34210
2020-10-21,1005295,150376,34366
2020-10-22,1026281,150376,34521
2020-10-23,1046132,150376,34752
2020-10-24,1046132,150376,34752
2020-10-25,1046132,150376,34752
2020-10-26,1098320,150376,35031
2020-10-27,1116738,150376,35298
2020-10-28,1136503,150376,35466
2020-10-29,1160083,150376,35639
2020-10-30,1185678,150376,35878
2020-10-31,1185678,150376,35878
2020-11-01,1185678,150376,35878
2020-11-02,1240697,150376,36257
2020-11-03,1259366,150376,36495
2020-11-04,1284408,150376,38118
2020-11-05,1306316,150376,38486
2020-11-06,1328832,150376,38833
2020-11-07,1328832,150376,38833
2020-11-08,1328832,150376,38833
2020-11-09,1381218,150376,39345
2020-11-10,1381218,150376,39345
2020-11-11,1417709,150376,40105
2020-11-12,1437220,150376,40461
2020-11-13,1458591,150376,40769
2020-11-14,1458591,150376,40769
2020-11-15,1458591,150376,40769
2020-11-16,1496864,150376,41253
2020-11-17,1510023,150376,41688
2020-11-18,1525341,150376,42039
2020-11-19,1541574,150376,42291
2020-11-20,1556730,150376,42619
2020-11-21,1556730,150376,42619
2020-11-22,1556730,150376,42619
2020-11-23,1582616,150376,43131
2020-11-24,1594844,150376,43668
2020-11-25,1605066,150376,44037
2020-11-26,1617355,150376,44374
2020-11-27,1628208,150376,44668
2020-11-28,1628208,150376,44668
2020-11-29,1628208,150376,44668
2020-11-30,1648187,150376,45069
2020-12-01,1656444,150376,45511
2020-12-02,1665775,150376,45784
2020-12-03,1675902,150376,46038
2020-12-04,1684647,150376,46252
2020-12-05,1684647,150376,46252
2020-12-06,1684647,150376,46252
2020-12-07,1702328,150376,46646
2020-12-08,1702328,150376,46646
2020-12-09,1712101,150376,47019
2020-12-10,1720056,150376,47344
2020-12-11,1730575,150376,47624
2020-12-12,1730575,150376,47624
2020-12-13,1730575,150376,47624
2020-12-14,1751884,150376,48013
2020-12-15,1762212,150376,48401
2020-12-16,1773290,150376,48596
2020-12-17,1785421,150376,48777
2020-12-18,1797236,150376,48926
2020-12-19,1797236,150376,48926
2020-12-20,1797236,150376,48926
2020-12-21,1819249,150376,49260
2020-12-22,1829903,150376,49520
2020-12-23,1842289,150376,49698
2020-12-24,1854951,150376,49824
2020-12-25,1854951,150376,49824
2020-12-26,1854951,150376,49824
2020-12-27,1854951,150376,49824
2020-12-28,1879413,150376,50122
2020-12-29,1893502,150376,50442
2020-12-30,1910218,150376,50689
2020-12-31,1928265,150376,50837
2021-01-01,1928265,150376,50837
2021-01-02,1928265,150376,50837
2021-01-03,1928265,150376,50837
2021-01-04,1958844,150376,51078
2021-01-05,1982544,150376,51430
2021-01-06,1982544,150376,51430
2021-01-07,2024904,150376,51675
2021-01-08,2050360,150376,51874
2021-01-09,2050360,150376,51874
2021-01-10,2050360,150376,51874
2021-01-11,2111782,150376,52275
2021-01-12,2137220,150376,52683
2021-01-13,2176089,150376,52878
2021-01-14,2211967,150376,53079
2021-01-15,2252164,150376,53314
2021-01-16,2252164,150376,53314
2021-01-17,2252164,150376,53314
2021-01-18,2336451,150376,53769
2021-01-19,2370742,150376,54173
2021-01-20,2412318,150376,54637
2021-01-21,2456675,150376,55041
2021-01-22,2499560,150376,55441
2021-01-23,2499560,150376,55441
2021-01-24,2499560,150376,55441
2021-01-25,2593382,150376,56208
2021-01-26,2629817,150376,56794
2021-01-27,2670102,150376,57291
2021-01-28,2705001,150376,57806
2021-01-29,2743119,150376,58319
2021-01-30,2743119,150376,58319
2021-01-31,2743119,150376,58319
2021-02-01,2822805,150376,59081
2021-02-02,2851869,150376,59805
2021-02-03,2883465,150376,60370
2021-02-04,2913425,150376,60802
2021-02-05,2941990,150376,61386
2021-02-06,2941990,150376,61386
2021-02-07,2941990,150376,61386
2021-02-08,2989085,150376,62295
2021-02-09,3005487,150376,63061
2021-02-10,3023601,150376,63704
2021-02-11,3041454,150376,64217
2021-02-12,3056035,150376,64747
2021-02-13,3056035,150376,64747
2021-02-14,3056035,150376,64747
2021-02-15,3086286,150376,65449
2021-02-16,3096343,150376,65979
2021-02-17,3107172,150376,66316
2021-02-18,3121687,150376,66704
2021-02-19,3133122,150376,67101
2021-02-20,3133122,150376,67101
2021-02-21,3133122,150376,67101
2021-02-22,3153971,150376,67636
2021-02-23,3161432,150376,68079
2021-02-24,3170644,150376,68468
2021-02-25,3180212,150376,68813
2021-02-26,3188553,150376,69142
2021-02-27,3188553,150376,69142
